day,energy_sum
2011-11-23,90.38500010000001
2011-11-24,213.41199989999998
2011-11-25,303.9929999
2011-11-26,420.97599970000005
2011-11-27,444.8830006
2011-11-28,500.68599980000005
2011-11-29,584.3170005
2011-11-30,669.827
2011-12-01,848.9490005
2011-12-02,1014.5910005000001
2011-12-03,1185.8300002
2011-12-04,1337.9440002000001
2011-12-05,1336.8240004000002
2011-12-06,1540.891
2011-12-07,1655.1830005
2011-12-08,1924.6999997
2011-12-09,2163.8099997
2011-12-10,2539.3939995
2011-12-11,2763.5840016
2011-12-12,2581.6229998
2011-12-13,2678.4680002
2011-12-14,2875.1240002
2011-12-15,3101.3840014
2011-12-16,3504.5329971
2011-12-17,3783.3509991
2011-12-18,4125.0359997
2011-12-19,4270.0860012
2011-12-20,4181.2959978
2011-12-21,4239.850999300001
2011-12-22,4345.0609986
2011-12-23,4632.3860013
2011-12-24,4938.6899995
2011-12-25,4894.8839985
2011-12-26,4182.7880009
2011-12-27,4345.089
2011-12-28,4562.9839984
2011-12-29,4882.2579993
2011-12-30,5098.1300013
2011-12-31,5111.204998900001
2012-01-01,5123.6349993
2012-01-02,5242.199999500001
2012-01-03,5327.0109997
2012-01-04,5351.2790004
2012-01-05,5409.0409999
2012-01-06,5380.4000012
2012-01-07,5412.5550028
2012-01-08,5666.3259983
2012-01-09,5290.8459993
2012-01-10,5137.7699968
2012-01-11,5139.9380006
2012-01-12,5232.661999800001
2012-01-13,5459.9219979
2012-01-14,5924.8750006
2012-01-15,6162.3379973
2012-01-16,5832.3700005
2012-01-17,5956.9149997
2012-01-18,5806.3010008
2012-01-19,5695.4889984
2012-01-20,6135.8529989
2012-01-21,6278.6479999
2012-01-22,6764.3539985
2012-01-23,6420.588997700001
2012-01-24,6642.0819997
2012-01-25,6615.692002700001
2012-01-26,6594.3049985
2012-01-27,6809.7039997
2012-01-28,7405.8480011
2012-01-29,7826.682997
2012-01-30,7627.2719991
2012-01-31,8070.3910008
2012-02-01,8150.8289979
2012-02-02,8736.229997100001
2012-02-03,9104.8389978
2012-02-04,9607.721994900001
2012-02-05,10106.111001000001
2012-02-06,9200.583
2012-02-07,9259.8050038
2012-02-08,10242.814000100001
2012-02-09,9808.0709993
2012-02-10,10166.6179966
2012-02-11,10411.5740047
2012-02-12,11115.044001
2012-02-13,10128.259001100001
2012-02-14,9734.700997400001
2012-02-15,9464.2569981
2012-02-16,9230.9059987
2012-02-17,9157.1040005
2012-02-18,9560.5260024
2012-02-19,10151.2169999
2012-02-20,10032.9250027
2012-02-21,9669.3640023
2012-02-22,10049.214001100001
2012-02-23,9193.104002
2012-02-24,9249.6230013
2012-02-25,9503.8919978
2012-02-26,10017.5979984
2012-02-27,9988.8699955
2012-02-28,9578.6740002
2012-02-29,9708.5509957
2012-03-01,9558.598999400001
2012-03-02,10224.230000200001
2012-03-03,10559.8529995
2012-03-04,11645.9329997
2012-03-05,11101.2879981
2012-03-06,11569.9239985
2012-03-07,11456.4409945
2012-03-08,10936.7969952
2012-03-09,11160.1160028
2012-03-10,11030.6550032
2012-03-11,11145.2880031
2012-03-12,10361.4270008
2012-03-13,10579.0040019
2012-03-14,10772.6629986
2012-03-15,11024.7819983
2012-03-16,11682.8399989
2012-03-17,12305.5110002
2012-03-18,12641.6590003
2012-03-19,11840.9169972
2012-03-20,11728.8880043
2012-03-21,11657.0790001
2012-03-22,11674.3059955
2012-03-23,11956.156995000001
2012-03-24,12160.822000600001
2012-03-25,12719.7530023
2012-03-26,12011.9020022
2012-03-27,11643.8829984
2012-03-28,11703.841003200001
2012-03-29,11490.5100003
2012-03-30,11492.2810011
2012-03-31,12862.4179994
2012-04-01,13271.955999900001
2012-04-02,12586.533995400001
2012-04-03,13122.631001
2012-04-04,13499.7730018
2012-04-05,14275.2579984
2012-04-06,14166.7920061
2012-04-07,13829.7639992
2012-04-08,14225.8859987
2012-04-09,14258.770001300001
2012-04-10,13588.5529993
2012-04-11,14119.7639964
2012-04-12,14596.467000300001
2012-04-13,14815.5060032
2012-04-14,15362.4070013
2012-04-15,16667.267002
2012-04-16,16168.6310018
2012-04-17,16977.2919989
2012-04-18,17798.1860032
2012-04-19,18145.6230022
2012-04-20,17916.4219996
2012-04-21,18058.704998
2012-04-22,18821.7139962
2012-04-23,18552.9709988
2012-04-24,18690.7389993
2012-04-25,20039.3240011
2012-04-26,19379.3840003
2012-04-27,19492.9649986
2012-04-28,21802.2870051
2012-04-29,23521.635999000002
2012-04-30,19711.5680002
2012-05-01,20052.4620024
2012-05-02,20800.0400005
2012-05-03,22983.438994
2012-05-04,23376.2289961
2012-05-05,24115.7540043
2012-05-06,25069.8159972
2012-05-07,24799.333000000002
2012-05-08,22697.1379988
2012-05-09,23930.940002800002
2012-05-10,23786.5949998
2012-05-11,23265.2250008
2012-05-12,24573.9389998
2012-05-13,25499.5020009
2012-05-14,25471.407999400002
2012-05-15,26962.940996
2012-05-16,23553.5629985
2012-05-17,26404.8400003
2012-05-18,27501.353999
2012-05-19,27948.343999700002
2012-05-20,30409.4320006
2012-05-21,28194.4950032
2012-05-22,27028.4900003
2012-05-23,26913.8879998
2012-05-24,27115.1510014
2012-05-25,27570.6719988
2012-05-26,28215.4289973
2012-05-27,29319.4939979
2012-05-28,28499.8560026
2012-05-29,28586.0889997
2012-05-30,28805.4589965
2012-05-31,29598.6729986
2012-06-01,30278.769000700002
2012-06-02,31599.756996
2012-06-03,34793.9760016
2012-06-04,33059.6350004
2012-06-05,34515.6550041
2012-06-06,31933.458003
2012-06-07,33597.3749925
2012-06-08,34180.6299983
2012-06-09,33429.1320025
2012-06-10,35620.7750016
2012-06-11,37268.2230054
2012-06-12,36505.28
2012-06-13,27945.085997500002
2012-06-14,31563.7839959
2012-06-15,28245.4629964
2012-06-16,28835.0469992
2012-06-17,36371.0830048
2012-06-18,34255.8469993
2012-06-19,33553.421997900004
2012-06-20,33290.9979984
2012-06-21,34897.8810016
2012-06-22,35143.5220023
2012-06-23,35936.2359981
2012-06-24,37537.6889966
2012-06-25,34570.6700025
2012-06-26,34439.9200001
2012-06-27,34593.2529999
2012-06-28,34114.676999100004
2012-06-29,34444.3519977
2012-06-30,34421.8950024
2012-07-01,36555.6520034
2012-07-02,36552.415995200005
2012-07-03,35671.760997900004
2012-07-04,34921.619998300004
2012-07-05,35166.2889984
2012-07-06,36397.9069974
2012-07-07,37877.5519998
2012-07-08,40721.0679994
2012-07-09,38590.2819955
2012-07-10,38256.1009986
2012-07-11,38083.1999985
2012-07-12,38564.386998300004
2012-07-13,38797.3339941
2012-07-14,40751.0790033
2012-07-15,40955.0129964
2012-07-16,40635.192999
2012-07-17,38616.2230009
2012-07-18,39177.450999500004
2012-07-19,38509.4699971
2012-07-20,39070.8560028
2012-07-21,38614.8490035
2012-07-22,39109.280997
2012-07-23,37942.4920015
2012-07-24,37556.1660006
2012-07-25,37967.3549976
2012-07-26,37555.1850031
2012-07-27,39049.37
2012-07-28,38424.9969948
2012-07-29,40675.0999965
2012-07-30,38372.445003400004
2012-07-31,39006.6779988
2012-08-01,38332.4869996
2012-08-02,37860.2249973
2012-08-03,38068.5000003
2012-08-04,38825.1759994
2012-08-05,41253.6240028
2012-08-06,39361.1099935
2012-08-07,39103.3290023
2012-08-08,38104.879002300004
2012-08-09,37950.2700011
2012-08-10,37923.4519991
2012-08-11,38220.6540008
2012-08-12,39990.8629994
2012-08-13,38487.4819997
2012-08-14,37554.770004800004
2012-08-15,38538.0440006
2012-08-16,37880.9409971
2012-08-17,37000.1720014
2012-08-18,38142.671999800004
2012-08-19,40026.181996700005
2012-08-20,38744.4170028
2012-08-21,37815.453998900004
2012-08-22,37369.1359994
2012-08-23,37263.3469962
2012-08-24,37624.711999
2012-08-25,38687.2879987
2012-08-26,38567.1920048
2012-08-27,39589.041998500004
2012-08-28,38325.0649985
2012-08-29,39500.461002100004
2012-08-30,39693.9449957
2012-08-31,38564.847002200004
2012-09-01,39517.012
2012-09-02,42865.2129981
2012-09-03,39822.2369969
2012-09-04,39716.1419995
2012-09-05,38868.1980005
2012-09-06,38445.3120007
2012-09-07,38285.1839998
2012-09-08,39235.1769962
2012-09-09,40934.0750007
2012-09-10,40549.2149999
2012-09-11,39250.8059955
2012-09-12,39515.0539965
2012-09-13,39392.7870002
2012-09-14,39810.6999986
2012-09-15,40334.174000700004
2012-09-16,43304.526002700004
2012-09-17,41370.9400013
2012-09-18,41147.9189996
2012-09-19,41546.1670044
2012-09-20,42103.4310043
2012-09-21,43045.6989997
2012-09-22,43956.617998400005
2012-09-23,51240.2579969
2012-09-24,47379.1679973
2012-09-25,45504.7360041
2012-09-26,46323.0700009
2012-09-27,46087.900003
2012-09-28,46318.7809985
2012-09-29,46971.2729997
2012-09-30,50799.671
2012-10-01,48239.184002
2012-10-02,47621.1449957
2012-10-03,47774.227005
2012-10-04,47670.627007
2012-10-05,48931.824004300004
2012-10-06,49002.2810047
2012-10-07,52299.8939994
2012-10-08,52221.2370064
2012-10-09,49964.161996
2012-10-10,50051.3140052
2012-10-11,52309.839997300005
2012-10-12,50578.3209965
2012-10-13,53122.372001100004
2012-10-14,56533.0889974
2012-10-15,53856.7870026
2012-10-16,52309.1130021
2012-10-17,52014.928998
2012-10-18,51401.0589991
2012-10-19,54613.7230049
2012-10-20,54573.2430027
2012-10-21,58921.393997600004
2012-10-22,55361.0040047
2012-10-23,54847.6459997
2012-10-24,53363.0469986
2012-10-25,55168.2229966
2012-10-26,58860.1519978
2012-10-27,62372.852001
2012-10-28,66596.5799996
2012-10-29,60751.016993000005
2012-10-30,59652.2980024
2012-10-31,59751.2449956
2012-11-01,59514.9209951
2012-11-02,60879.8280002
2012-11-03,62900.1239927
2012-11-04,69664.1769994
2012-11-05,62875.679004800004
2012-11-06,63705.308998500004
2012-11-07,62124.3959955
2012-11-08,60465.460005500005
2012-11-09,60431.9229958
2012-11-10,63139.654002100004
2012-11-11,66473.9219911
2012-11-12,63047.0629977
2012-11-13,59186.0719992
2012-11-14,59098.2099802
2012-11-15,60495.335985800004
2012-11-16,62364.7659996
2012-11-17,63549.363000000005
2012-11-18,66829.5789983
2012-11-19,63099.5479951
2012-11-20,61431.7119966
2012-11-21,62643.9169996
2012-11-22,60824.7540069
2012-11-23,60900.3060026
2012-11-24,66872.78400680001
2012-11-25,67399.69400640001
2012-11-26,63640.5299996
2012-11-27,64598.4289957
2012-11-28,66176.5779958
2012-11-29,66709.2850037
2012-11-30,68022.1669984
2012-12-01,72563.2909973
2012-12-02,75819.4440069
2012-12-03,68497.72600360001
2012-12-04,67807.8209957
2012-12-05,70407.5219963
2012-12-06,71895.7860087
2012-12-07,70912.9160019
2012-12-08,70699.24999540001
2012-12-09,74193.6000029
2012-12-10,69244.1149878
2012-12-11,65086.9989937
